# lane	promote	last_green_commit	date	tally
c-testsuite	commit	7488a39cf3f9	2026-09-20	220/220 gnu11 (0 outside baseline) — FAST TIER 4s, re-sweep on 7488a39cf
c-torture	commit	7488a39cf3f9	2026-09-20	1611 passed/4 compile-failed/9 runtime-failed/0TO/61skip (--std=c17), 13 failing, 0 OUTSIDE BASELINE — FAST TIER 25s, re-sweep on 7488a39cf. Zero regressions vs the v0.99.2 binary; up from 1587 before the standard-C fixes (77300e865 + the 7488a39cf narrowing)
gxx-c++11	no	7488a39cf3f9	2026-09-20	1464/1950 = 75.1% (0 outside baseline) — FAST TIER 84s, re-sweep on 7488a39cf. ROADMAP GOAL, never a gate
macos	yes	92dcc2999894	2026-09-20	BUILD lane (not a test lane): container release-macos rc=0 on BOTH arches + package-macos rc=0 + pull tarballs rc=0 + hosted-arm64-macos rc=0 — re-sweep on 7488a39cf, tmp/logs/rel6-macos-20260920-215145.log and rel6-hosted-arm64-20260920-215145.log. forest_pack_gate [darwin] parse errors 45/45 AT BASELINE on both arches, dump 55 headers 0 missing; forest_pack_darwin OK (836 units). verify_macho_release OK on BOTH arches including authority 5 "C linkage restored". This lane performs the SAME libc++ header freeze the darwin runner does, so its green here is what established that the 2026-09-20 21:38/21:51 darwin CI reds were the wrong workflow file (head_branch=master) and not the parser fixes
darwin-suite	release	e4db584f3f73	2026-09-20	arm64 1520/0/0TO/29skip, Intel 1521/0/0TO/28skip — gh run 35540231442 (darwin-probe.yml, head_branch=feature/selfhost-harness-claude, head_sha=7488a39cf: BOTH the workflow file and the source from the branch under test). +2 each vs the previous record = tests/teststaticprotodef and tests/testconstptrmembercast. verify_macho_release OK on both arches with authority 5 "C linkage restored", 835 units. Runner mac battery 10/1 both — the include-free value intrinsic standing known-open, unchanged. Exe lane ADVISORY (arm64 1153/273) until the darwin runtime dylib (D5). NOTE: two earlier reds this evening (35539344160, 35539943063) were dispatched WITHOUT --ref, so they ran MASTERs workflow file (head_branch=master, head_sha=97fe4ec58) against branch source and failed on libc++ header parsing; they measured the wrong thing. Always pass --ref AND verify head_branch before believing a red darwin lane
linux-battery	yes	e4db584f3f73	2026-09-20	fulltest jit 1540/0/0TO/9skip (doctest 186/186 across 5 binaries; every static gate GREEN incl. check-rule-trailers 1044 commits/0 missing) + exe 1444/0 + obj 1444/0 + release (forest_pack_gate linux: parse errors 70/70 at baseline, dk-none 45/45, fill-dropped and restore-skipped hard zero; forest_pack 345 units) + packed 1540/0/0TO/9skip + headerless 1506/0/0TO/43skip — re-sweep on 7488a39cf, tmp/logs/rel6-battery-20260920-215145.log. +2 on every pass vs the previous record = tests/teststaticprotodef and tests/testconstptrmembercast, the reducers for the three standard-C regressions; skip counts unchanged at 9 and 43, zero failures on every pass
libcxx	release	cf12562c8466	2026-09-21	jit 1533/0/0TO/16skip exe 1437/0 obj 1437/0 (linux -stdlib=libc++; 7 tests carry a .libcxx_skip) — re-sweep on 7488a39cf, tmp/logs/rel6-libcxx-20260920-215145.log. +2 on every pass vs the previous record = tests/teststaticprotodef and tests/testconstptrmembercast; skip count unchanged at 16, zero failures on every pass. The two .libcxx_skip fixtures remain PRE-EXISTING gaps classified against the v0.99.2 binary (libcxx_tuple_impl_ctor_match, libcxx_vector_push_implicit_copy_segv)
wine64	yes	cf12562c8466	2026-09-21	1480/0/0TO/69skip (persistent wine; hosted PE rebuilt from CURRENT content by driver7 at 00:36:46, verify_pe_release OK: 234 units, ONE stdlib profile, ledger complete, imports clean, stripped, DLL set adjacent, subsystem console=3 -mwindows=2 as gcc) — re-sweep on 7488a39cf, tmp/logs/rel7-winlanes-20260921-003620.log. +2 vs the v0.99.2-era record = the two regression reducers; skip count unchanged at 69. NOTE: an earlier run in this same sweep used a PE stamped 21:40, built BEFORE the 21:50 const-peel narrowing — that result was discarded rather than recorded, which is why driver7 rebuilds the PE before re-running
genuine-win	release	cf12562c8466	2026-09-21	1480/0/0TO/69skip — the FULL suite on the owner Windows 11 box over the W0.2 channel (scripts/win_suite.sh from the container; the packed madc-release-x86-64-windows.exe REBUILT from current content at 00:36:46 with DLLs + tests/tools/examples staged, MADC_SKIP_EXT="win64 win") — re-sweep on 7488a39cf, tmp/logs/rel7-win_suite-20260921-003620.log. Against the v0.99.2 row (1278/0/0TO/66skip): +202 passing, zero failures. +2 vs the pre-fix sweep = the two regression reducers
gui	yes	cf12562c8466	2026-09-21	19/0/0TO/0skip JIT + EXE 19/0 + OBJ 19/0 (tests/gui under Xvfb; builds libmadcwebview + webview-header-check) — re-sweep content 7488a39cf. NEW ROW 2026-09-21: this stage existed in remote_build.sh but had NO ledger row, the same blind spot that let c-torture drift five weeks. ~3 minutes including the webview build; belongs in the fast tier, which is a follow-up (adding it to scripts/fast_lanes.sh is a CODE_PATHS change and would stale every lane)
